115,Glass Recycling - Lifecycle Carbon Dioxide Emissions,,2003,British Glass; Enviros Consulting Ltd,,,,,,,,,,,,
116,Granite Dimensional Stone Quarrying and Processing: A Life-Cycle Inventory,,2008,"University of Tennessee
Center for Clean Products",,,,,,,,,,,,
117,Green building Handbook Vol 2: A guide to building products and their impact on the environment,Tom Woolley~ Sam Kimmins,2000,E & FN Spon; Taylor & Francis Group,419253807,,,,,,,,,,,
118,Green Building Handbook: A guide to building products and their impact on the environment,Tom Woolley~ Sam Kimmins,1997,E & FN Spon~ Thomson Science & Professional,419226907,,,,,,,,,,,
119,Greenhouse Gas Emissions and Costs Over the Life Cycle of Wood and Alternative Flooring Materials,Ann Kristin Petersen~ Birger Solberg,2004,,,64,,143-167,Climatic Change,,,,,,,
120,Handbook of Industrial Energy Analysis,I Boustead~ G F Hancock,1979,Ellis Horwood Limited,853120641,,,,,,,,,,,
121,High Density polyethylene LCI Data Summary,I Boustead,2005,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
122,High Density polyethylene LCI Data Summary in Excel format,I Boustead,2005,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
123,High Density polyethylene pipe extrusion LCI Data Summary,I Boustead,2005,Plastic Europe~ APME,,,,,,,,,,,,
124,High Density polyethylene pipe extrusion LCI Data Summary in Excel format,I Boustead,2005,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
125,High Performance High Volume Fly Ash Concrete for Sustainable Development,P Kumar Mehta,05/20/2004-05/21/2004,,,,,,international Workshop on Sustainable Development and Concrete technology,,Beijing~ China,,,,,
126,How Sustainable is Concrete?,Leslie Struble~ Jonathan Godfrey,1999,University of Illinois,,,,,,,,,,,,
127,IISF - Stainless steel LCI spreadsheet,,2004,ISSF~ institute of Stainless Steel Forum,,,,,,,,,,,,
128,IISI bar & wire rod BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
129,IISI bar & wire rod EAF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
130,IISI coated flat steel BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
131,IISI electrogalvanised coil BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
132,IISI engineering steel EAF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
133,IISI Finished cold rolled coil BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
134,IISI Hot dipped galvanised coil BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
135,IISI Hot rolled coil BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
136,IISI Plate BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
137,IISI section BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
138,IISI section EAF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
139,IISI Steel pipe BF route,,2000,IISI~  International Iron & Steel Institute,,,,,,,,,,,,
140,Integrated Pollution Prevention and Control (IPPC) - Reference Document on Best Available Techniques in the Cement and Lime Manufacturing Industries,,2001,European Comission~ IPPC,,,,,,,,,,,,
141,Integrated Pollution Prevention and Control; Draft reference document on best available techniques in the ceramic manufacturing industry~ draft October 2004,,2004,European Commission,,,,,,,,,,,,
142,Integrated Pollution Prevention and Control; Draft reference document on best available techniques in the pulp and paper manufacturing industry~ December 2001,,2001,European Commission,,,,,,,,,,,,
143,Kingspan Therma - An Environmental Profile,,2006,Kingspan,,,,,,,,,,,,
144,KONE MonoSpace - Environmnetal Product Declaration,,2009,VTT - Technical Research Centre of Finland,,,,,,,,,,,,
145,LCA and Embodied Energy; Some Contentious Issues,W R Lawson,11/1996,Deakin University,,,,,,,,Embodied Energy - The Current State of Play,,,,
146,LCA Fact Sheet~ Life Cycle Analysis of Clay Brick Housing - Based on a Typical Project Home,,2003,The Centre for Sustainable Technology - University of Newcastle - Australia,,,,,,,,,,,,
147,LCA of Road - A pilot study for inventory analysis,Hakan Stripple,2001,IVL Swedish Environmental Research Institute,,,,,,,,,,,,
148,Life Cycle Analysis of a Residential Home in Michigan,Steven Blanchard~ Peter Reppe,1998,Centre for Sustainable Systems - University of Michigan,,,,,,,,,,,,
149,Life cycle analysis of wind-fuel cell integrated system,F I Kahn~ K Hawboldt~ M T Iqbal,2005,,,30,,157-177,Renewable energy,,,,,,,
150,Life Cycle Analysis of Wood Products: Cradle to Gate LCI of Residential Wood Building Materials,Maureen E Puettmann~ James B Wilson,2005,,,37,,18-29,Wood and Fibre Science,,,,,,,
151,Life cycle assessment environmental profile of cotton and polyester-cotton fabrics,Eija M Kalliala~ Pertti Nousiainen,1999,,,1,1,,AUTEX Research Journal,,,,,,,
152,Life Cycle Assessment for Painting Processes: Putting the VOC Issue in Perspective,Ian D Dobson,1996,,,27,,55-58,Progress in Qrganic Coatings,,,,,,,
153,Life Cycle Assessment of 4 Types of Floor Covering,Jose Potting~ Korenils Blok,1994,Department of Science Technology and Society - Utrecht university,,,,,,,,,,,,
154,Life cycle assessment of a car tyre,A Kromer~ E Kreipe~ Diethelm Reichenbach~ R Stark,1999,Continental AG,,,,,,,Hannove~ Germany,,,,,
155,Life cycle assessment of a wind farm and related externalities,L Schleisner,2000,,,20,,279-288,Renewable energy,,,,,,,
156,Life cycle assessment of aluminium: inventory data for the primary aluminium industry - Year 2005 update,,2007,International Aluminium Institute,,,,,,,,,,,,
157,Life Cycle Assessment of Copper Products,Ladji Tikana~ Henrike Sievers~ Anton Klassert,2005,Deutsches Kupferinstitut - Life Cycle Centre,,,,,,,,,,,,
158,Life Cycle Assessment of Flooring Materials: Case Study,A Jonsson~ A M Tillman~ T Svensson,1997,,,32,3, 245-255,Building and Environment,,,,,,,
159,Life Cycle Assessment of Nickel Products,,2000,Ecobalance~ Nickel Industry LCA Group,,,,,,,,,,,,
160,Life Cycle Assessment of Particleboards and Fibreboards,A. Frühwald~ J. Hasch,1999,,,,,,,,,,,,http://www.oekobilanzen-holz.de/,
161,Life Cycle Assessment of Plasterboard,,2008,Waste Resources Action Programme~ WRAP,,,,,,,,,,,,
162,Life Cycle Assessment of polyvinyl Chloride and Alternatives: Summary Report for Consultation,,2001,DEFRA,,,,,,,,,,, http:www.defra.gov.uk/environment/consult/PVC/index2.htm,
163,Life Cycle Assessment of PVC and of Principle Competing Materials,Martin Baitz~ Johannes Kreissig~ Eloise Byrne,2004,European Commission,,,,,,,,,,,,
164,Life Cycle Assessment of Road Construction,Ulla-Maija Mroueh~ Paula Eskola~ Jutta Laine-Ylijoki~ Kari Wellman et al,2000,FINNRA~ Finnish National Road Administration,,,,,,,,,,,,
165,Life Cycle Assessment of Wood Floor Coverings,Barbara Nebel~ Bernhard Zimmer~ Gerd Wegener,2006,,,11,3,172-182,International Journal of LCA,,,,,,,
166,Life Cycle Assessments of Natural Fibre Insulation Materials,Richard J Murphy~ Andrew Norton,2008,Imperial College London,,,,,,,,,,,,
167,Life cycle CO2 emissions of a photovoltaic/wind/diesel generating system,Y Kemmoku~ K Ishikawa~ S Nakagawa~ T Kawamoto~ T Sakakibara,2002,,,138,2,,Electrical Engineering in Japan,,,,,,,
168,Life Cycle CO2 Emissions of a Photovoltaic/Wind/Diesel Generating System,Yoshishige Kemmoku~ Keiko Ishikawa~ Shigeyasu Nakagawa~ teru Kawamoto,2002,,,1,2,,Electrical Engineering in Japan,,,,,,,
169,Life cycle energy and environmental performance of a new university building modelling challenges and design implications,Chris Scheuer~ Gregory A. Keoleian~ Peter Reppe,2003,,,35,,1049-1064,Energy and buildings,,,,,,,
170,Life Cycle Environmental Assessment of Paint Processes,Stella Papasavva~ Sheila Kia~ Joseph Claya~ Raymond Gunther,02/2002,,,74,925,,Journal of Coatings Technology,,,,,,,
171,life Cycle Impact Assessment of Printing Paper using Non-Wood Pulp and De-inked Pulp,Katsuhito Nakazawa~ Toru Katsura~ Keiichi Katayama~ Itaru Yasui, 10/25/2004-10/27/2004,,,,,,,,Tsukuba~ Japan,,,,,6th International Conference on EcoBalance
172,Life Cycle Inventory for kraft sack paper,Pär Weström~ Cathrine Löfgre,2005,CEPI Eurokraft / Eurosac,,,,,,,,,,,,
173,Life Cycle inventory of Five Products Produced from Polylactide (PLA) and Petroleum Based Resins - Summary Report,,2006,Athena Institute International; Franklin Associates,,,,,,,,,,,,
174,Life Cycle inventory of Five Products Produced from Polylactide (PLA) and Petroleum Based Resins - Technical Report,,2006,Athena Institute International; Franklin Associates,,,,,,,,,,,,
175,Life Cycle Inventory of Medium Density Fibreboard,Beatriz Rivela~ M Teresa Moreira~ Gumersindo Feijoo,2007,,,12,3,143 - 150,International Journal of LCA,,,,,,,
176,Life Cycle Inventory of Particleboard: A Case Study in the Wood Sector,Beatriz Rivela~ Almudena Hospido~ M Teresa Moreira~ Gumersindo Feijoo,2006,,,11,2,106-113,International Journal of LCA,,,,,,,
177,Life Cycle Inventory of Portland Cement Concrete,Medgar L Marceau~ Michael A Nisbet~ Martha G VanGeem,2007,Portland Cement Association (US),,,,,,,Illinois,,,,,
178,Life Cycle Inventory of Slag Cement Concrete,Jan R Prusinski~ Medgar L Marceau~ Martha G VanGeem,2003,,,,,,,,,,,,,8th CANMET/ACI international conference in Fly Ash~ Silica Fume and Natural Pozzilans in Concrete
179,Life cycle inventory of the worldwide aluminium industry with regard to energy consumption and emissions of greenhouse gases~ paper 1 - automotive,,2000,International Primary Aluminium Institute,,,,,,,,,,,,
