Cement - RC 25/30 (25/30 MPa) (30% Fly Ash),Kilogram,0.77,,,,0.107,0.115,,,Possible uses: reinforced foundations.,
Cement - RC 28/35 (28/35 MPa) (0% Fly Ash),Kilogram,0.95,,,,0.139,0.148,,,"Possible uses: reinforced foundations, ground floors.",
Cement - RC 28/35 (28/35 MPa) (15% Fly Ash),Kilogram,0.90,,,,0.129,0.138,,,"Possible uses: reinforced foundations, ground floors.",
Cement - RC 28/35 (28/35 MPa) (30% Fly Ash),Kilogram,0.82,,,,0.116,0.124,,,"Possible uses: reinforced foundations, ground floors.",
Cement - RC 32/40 (32/40 MPa) (0% Fly Ash),Kilogram,1.03,,,,0.153,0.163,,,"Possible uses: structural purposes, in situ floors, walls, superstructure.",
Cement - RC 32/40 (32/40 MPa) (15% Fly Ash),Kilogram,0.97,,,,0.143,0.152,,,"Possible uses: structural purposes, in situ floors, walls, superstructure.",
Cement - RC 32/40 (32/40 MPa) (30% Fly Ash),Kilogram,0.89,,,,0.128,0.136,,,"Possible uses: structural purposes, in situ floors, walls, superstructure.",
Cement - RC 40/50 (40/50 MPa) (0% Fly Ash),Kilogram,1.17,,,,0.176,0.188,,,"Possible uses: high strength applications, precasting.",
Cement - RC 40/50 (40/50 MPa) (15% Fly Ash),Kilogram,1.10,,,,0.164,0.174,,,"Possible uses: high strength applications, precasting.",
Cement - RC 40/50 (40/50 MPa) (30% Fly Ash),Kilogram,0.99,,,,0.146,0.155,,,"Possible uses: high strength applications, precasting.",
Cement - PAV1 (0% Fly Ash),Kilogram,0.95,,,,0.139,0.148,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1 (15% Fly Ash),Kilogram,0.89,,,,0.129,0.138,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV1 (30% Fly Ash),Kilogram,0.81,,,,0.115,0.123,,,Possible uses: domestic parking and outdoor paving.,
Cement - PAV2 (0% Fly Ash),Kilogram,1.03,,,,0.153,0.163,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (15% Fly Ash),Kilogram,0.97,,,,0.143,0.152,,,Possible uses: heavy duty outdoor paving.,
Cement - PAV2 (30% Fly Ash),Kilogram,0.89,,,,0.128,0.137,,,Possible uses: heavy duty outdoor paving.,
Cement - GEN 0 (6/8 MPa) (0% Blast Furnace Slag),Kilogram,0.55,,,,0.071,0.076,,,"Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa, under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.",
