Cotton -  Padding,qudt:Kilogram,27.1,,,,1.28,,,,,38
Cotton -  Fabric,qudt:Kilogram,143,,,,6.78,,,,,38
Damp Proof Course/Membrane,qudt:Kilogram,134,,,,4.2,,,,Uncertain estimate.,
Felt General,qudt:Kilogram,36,,,,,,,,,
Flax,qudt:Kilogram,33.5,,,,1.7,,,,,2
Fly Ash,qudt:Kilogram,0.1,,,,0.008,,,,No allocation from fly ash producing system.,
Grit,qudt:Kilogram,0.12,,,,0.01,,,,,114
Ground Limestone,qudt:Kilogram,0.62,,,,0.032,,,,,
Carpet Grout,qudt:Kilogram,30.8,,,,,,,,,169
Glass Reinforced Plastic - GRP - Fibreglass,qudt:Kilogram,100,,,,8.1,,,,,1
Lithium,qudt:Kilogram,853,,,,5.3,,,,,22
Mandolite,qudt:Kilogram,63,,,,1.4,,,,,1
Mineral Fibre Tile (Roofing),qudt:Kilogram,37,,,,2.7,,,,,1
Manganese,qudt:Kilogram,52,,,,3.5,,,,,22
Mercury,qudt:Kilogram,87,,,,4.94,,,,,22
Molybedenum,qudt:Kilogram,378,,,,30.3,,,,,22
Nickel,qudt:Kilogram,164,,,,12.4,,,,,114
Perlite - Expanded,qudt:Kilogram,10,,,,0.52,,,,,114
Perlite - Natural,qudt:Kilogram,0.66,,,,0.03,,,,,114
Quartz powder,qudt:Kilogram,0.85,,,,0.02,,,,,114
Shingle,qudt:Kilogram,11.3,,,,0.3,,,,,70
Silicon,qudt:Kilogram,2355,,,,,,,,,167
Slag (GGBS),qudt:Kilogram,1.6,,,,0.083,,,,Ground Granulated Blast Furnace Slag (GGBS) -  economic allocation.,
Silver,qudt:Kilogram,128.2,,,,6.31,,,,,148
Straw,qudt:Kilogram,0.24,,,,0.01,,,,,63-201-202-281
Terrazzo Tiles,qudt:Kilogram,1.4,,,,0.12,,,,,1
Vanadium,qudt:Kilogram,3710,,,,228,,,,,22
Vermiculite - Expanded,qudt:Kilogram,7.2,,,,0.52,,,,,114
Vermiculite - Natural,qudt:Kilogram,0.72,,,,0.03,,,,,114
Vicuclad,qudt:Kilogram,70,,,,,,,,,1
Water,qudt:Kilogram,0.01,,,,0.001,,,,,
Wax,qudt:Kilogram,52,,,,,,,,,169
Wood stain/Varnish,qudt:Kilogram,50,,,,5.35,,,,,1
Yttrium,qudt:Kilogram,1470,,,,84,,,,,22
Zirconium,qudt:Kilogram,1610,,,,97.2,,,,,22
Paint,qudt:Kilogram,70,,,,2.42,2.91,,,Large variations in data -  especially for embodied carbon. Includes feedstock energy. Water based paints have a 70% market share.  Water based paint has a lower embodied energy than solvent based paint.,
Single Coat of Paint,qudt:SquareMeter,10.5,,,,0.36,0.44,,,Assuming 6.66 qudt:SquareMeter Coverage per kg,
